Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-08-24,ULTRACEMCO,EQ,10.0,305.0,340.0,253.25,259.0,260.2,268.8,6633956,1.78323693135e+14,,970249,0.1463
2004-08-25,ULTRACEMCO,EQ,260.2,262.0,264.7,249.2,255.0,255.55,255.54,2794161,7.1401072765e+13,,584835,0.2093
2004-08-26,ULTRACEMCO,EQ,255.55,257.75,272.5,256.0,270.1,270.7,267.0,2340926,6.2502313585e+13,,443707,0.1895
2004-08-27,ULTRACEMCO,EQ,270.7,272.0,272.55,260.65,261.35,262.25,264.4,915106,2.419529322e+13,,222763,0.2434
2004-08-30,ULTRACEMCO,EQ,262.25,263.7,269.0,262.05,267.0,266.1,265.38,387417,1.0281084615e+13,,84031,0.2169
2004-08-31,ULTRACEMCO,EQ,266.1,266.8,267.8,264.3,266.45,266.2,266.0,261123,6.945977815e+12,,85009,0.3256
2004-09-01,ULTRACEMCO,EQ,266.2,267.0,273.45,265.0,267.0,267.2,269.43,311985,8.405950375e+12,,67745,0.2171
2004-09-02,ULTRACEMCO,EQ,267.2,267.85,269.5,260.0,264.0,262.2,264.61,205537,5.438734245e+12,,75679,0.3682
2004-09-03,ULTRACEMCO,EQ,262.2,262.2,264.9,257.5,262.65,262.65,261.0,303156,7.91225582e+12,,165614,0.5463
2004-09-06,ULTRACEMCO,EQ,262.65,263.5,267.85,263.0,264.75,265.3,265.9,74691,1.986045295e+12,,29535,0.3954
2004-09-07,ULTRACEMCO,EQ,265.3,264.0,265.8,263.55,265.0,264.85,264.72,128275,3.39563307e+12,,95223,0.7423
2004-09-08,ULTRACEMCO,EQ,264.85,266.0,266.0,262.6,263.5,263.45,263.95,95094,2.510026795e+12,,51956,0.5464
2004-09-09,ULTRACEMCO,EQ,263.45,264.5,265.0,254.8,256.5,256.0,258.58,229786,5.94192048e+12,,146745,0.6386
2004-09-10,ULTRACEMCO,EQ,256.0,256.9,264.4,254.35,258.1,258.6,258.61,313469,8.106592025e+12,,123203,0.393
2004-09-13,ULTRACEMCO,EQ,258.6,256.0,262.15,256.0,260.8,260.65,260.79,100186,2.612736595e+12,,68093,0.6797
2004-09-14,ULTRACEMCO,EQ,260.65,261.0,263.5,259.0,261.0,261.1,260.97,87282,2.277834495e+12,,51097,0.5854
2004-09-15,ULTRACEMCO,EQ,261.1,262.7,266.95,261.5,263.0,263.9,264.35,179209,4.737380115e+12,,104194,0.5814
2004-09-16,ULTRACEMCO,EQ,263.9,264.0,266.7,261.0,266.7,265.6,264.52,113885,3.012490745e+12,,72887,0.64
2004-09-17,ULTRACEMCO,EQ,265.6,267.0,274.45,266.1,271.0,271.0,270.63,193931,5.24843136e+12,,98302,0.5069
2004-09-20,ULTRACEMCO,EQ,271.0,272.0,283.0,272.0,276.95,277.35,279.59,447036,1.2498627405e+13,,257433,0.5759
2004-09-21,ULTRACEMCO,EQ,277.35,280.0,281.8,275.0,275.8,276.3,277.8,317565,8.82197046e+12,,207819,0.6544
2004-09-22,ULTRACEMCO,EQ,276.3,281.5,281.95,275.05,280.8,279.25,278.89,142156,3.96456392e+12,,70058,0.4928
2004-09-23,ULTRACEMCO,EQ,279.25,273.0,279.0,268.8,268.95,269.9,274.07,71981,1.972812535e+12,,41985,0.5833
2004-09-24,ULTRACEMCO,EQ,269.9,269.5,273.0,267.1,271.3,270.8,269.83,64135,1.73056205e+12,,29121,0.4541
2004-09-27,ULTRACEMCO,EQ,270.8,271.5,273.9,269.3,273.9,272.8,271.61,43976,1.19441931e+12,,20984,0.4772
2004-09-28,ULTRACEMCO,EQ,272.8,272.8,272.8,263.6,264.5,265.7,266.92,116744,3.11608795e+12,,83792,0.7177
2004-09-29,ULTRACEMCO,EQ,265.7,266.9,267.5,262.65,264.5,264.45,264.69,84483,2.236162495e+12,,50772,0.601
2004-09-30,ULTRACEMCO,EQ,264.45,266.4,268.75,264.95,265.0,266.05,267.09,45563,1.21692516e+12,,22853,0.5016
2004-10-01,ULTRACEMCO,EQ,266.05,266.0,268.0,264.0,264.0,265.25,266.06,59466,1.5821747e+12,,45680,0.7682
2004-10-04,ULTRACEMCO,EQ,265.25,268.8,270.9,263.0,270.0,269.05,267.52,173799,4.649406115e+12,,134284,0.7726
2004-10-05,ULTRACEMCO,EQ,269.05,269.0,271.0,264.0,264.75,265.25,267.03,74731,1.995559745e+12,,45130,0.6039
2004-10-06,ULTRACEMCO,EQ,265.25,266.5,298.9,266.5,293.0,295.0,289.81,1072401,3.107977273e+13,,485545,0.4528
2004-10-07,ULTRACEMCO,EQ,295.0,295.0,354.0,294.0,316.05,316.45,323.06,2122276,6.856320994e+13,,430666,0.2029
2004-10-08,ULTRACEMCO,EQ,316.45,318.1,331.35,316.45,322.0,320.4,322.82,599337,1.934783739e+13,,121973,0.2035
2004-10-09,ULTRACEMCO,EQ,320.4,321.4,322.0,314.0,316.0,315.65,317.5,90585,2.87611764e+12,,24186,0.267
2004-10-11,ULTRACEMCO,EQ,315.65,315.0,318.6,301.25,303.3,304.7,310.88,121262,3.769788995e+12,,39686,0.3273
2004-10-12,ULTRACEMCO,EQ,304.7,307.0,311.0,298.1,298.6,300.15,303.61,146878,4.45942486e+12,,38394,0.2614
2004-10-14,ULTRACEMCO,EQ,300.15,303.7,303.7,286.55,290.2,289.1,291.66,89146,2.60000804e+12,,41267,0.4629
2004-10-15,ULTRACEMCO,EQ,289.1,294.8,299.8,288.0,289.1,290.7,293.49,115264,3.382913555e+12,,29845,0.2589
2004-10-18,ULTRACEMCO,EQ,290.7,293.9,295.0,285.0,287.2,286.8,289.35,59350,1.717306075e+12,,23875,0.4023
2004-10-19,ULTRACEMCO,EQ,286.8,291.4,291.4,282.6,285.05,285.6,287.27,72458,2.081525505e+12,,29018,0.4005
2004-10-20,ULTRACEMCO,EQ,285.6,288.4,292.3,285.5,286.1,286.55,289.1,95374,2.75728038e+12,,28489,0.2987
2004-10-21,ULTRACEMCO,EQ,286.55,288.4,296.5,285.0,293.0,292.25,290.02,81976,2.37743766e+12,,38678,0.4718
2004-10-25,ULTRACEMCO,EQ,292.25,295.5,305.3,284.6,285.15,286.35,294.16,215408,6.336489605e+12,,101310,0.4703
2004-10-26,ULTRACEMCO,EQ,286.35,289.9,294.8,281.55,292.5,289.5,287.67,105215,3.02667806e+12,,29444,0.2798
2004-10-27,ULTRACEMCO,EQ,289.5,285.0,313.9,285.0,297.75,299.15,299.45,656655,1.966340016e+13,,473115,0.7205
2004-10-28,ULTRACEMCO,EQ,299.15,301.0,311.0,297.0,306.35,306.6,304.78,326585,9.95375056e+12,,157306,0.4817
2004-10-29,ULTRACEMCO,EQ,306.6,302.2,306.75,301.0,302.5,303.25,303.38,76737,2.32801749e+12,,38405,0.5005
